CLUSTERID1	CLUSTERID2	DeltaMZ	MEH	Cosine	OtherScore	ComponentIndex	EdgeAnnotation
10677	11058	-41.015	10677	0.9543	10677.0	1	CHN2
10905	11155	149.107	10905	0.9511	10905.0	1	 
11238	11658	-75.070	11238	0.9602	11238.0	1	CH7N4:C3H9NO
10827	11238	237.160	10827	0.9754	10827.0	1	 
10677	10905	-146.095	10677	0.955	10677.0	1	 
11333	12093	74.036	11333	0.941	11333.0	1	CH4N3O:C3H6O2:CH5N3O
10905	11851	223.142	10905	0.9683	10905.0	1	 
11760	11920	88.053	11760	0.9763	11760.0	1	 
12407	12612	44.024	12407	0.9536	12407.0	1	CH2NO:H2N3:C2H4O
10827	11061	132.080	10827	0.9676	10827.0	1	 
10621	11920	-86.070	10621	0.9686	10621.0	1	 
10905	10928	295.200	10905	0.9511	10905.0	1	 
11273	12163	179.113	11273	0.9551	11273.0	1	 
11153	11426	149.104	11153	0.941	11153.0	1	 
10754	11836	-235.177	10754	0.9667	10754.0	1	 
10674	11551	-116.083	10674	0.9691	10674.0	1	 
10747	12203	165.101	10747	0.9468	10747.0	1	 
10928	11426	-14.017	10928	0.9648	10928.0	1	methanol (-H2O):CH2
11058	11361	-119.099	11058	0.9679	11058.0	1	 
10855	11660	-116.083	10855	0.9664	10855.0	1	 
11061	11238	105.080	11061	0.9845	11061.0	1	 
11061	11920	-72.057	11061	0.9659	11061.0	1	CH4N4:C2H6N3
10504	10674	88.052	10504	0.9438	10504.0	1	 
10341	11233	-72.058	10341	0.9614	10341.0	1	C2H6N3
10928	11118	88.052	10928	0.9663	10928.0	1	 
11061	12407	-86.074	11061	0.961	11061.0	1	 
11554	12407	-89.084	11554	0.9488	11554.0	1	 
11361	12028	74.042	11361	0.9586	11361.0	1	CH4N3O:C3H6O2:CH5N3O:C2H6N2O
10855	11017	88.052	10855	0.9555	10855.0	1	 
11555	11836	-102.064	11555	0.9604	11555.0	1	 
11755	12730	-89.085	11755	0.9298	11755.0	1	 
11234	11336	61.055	11234	0.9095	11234.0	1	H5N4:C2H7NO:CH7N3
10687	10747	26.998	10687	0.9475	10687.0	1	 
10404	11233	-116.083	10404	0.9538	10404.0	1	 
10827	12169	148.074	10827	0.9899	10827.0	1	 
11920	12169	88.052	11920	0.9671	11920.0	1	 
11058	11851	118.062	11058	0.9789	11058.0	1	 
10504	11211	74.037	10504	0.9485	10504.0	1	CH4N3O:C3H6O2:CH5N3O
11755	12372	30.009	11755	0.9341	11755.0	1	CH2O
11234	11444	-129.067	11234	0.9268	11234.0	1	 
11238	12407	-191.154	11238	0.974	11238.0	1	 
11061	11760	-160.111	11061	0.9524	11061.0	1	 
10543	11836	-86.072	10543	0.9707	10543.0	1	 
10928	11551	30.010	10928	0.9574	10928.0	1	CH2O
11658	11920	-102.068	11658	0.9698	11658.0	1	 
10747	11444	-143.082	10747	0.9521	10747.0	1	 
11660	11851	88.052	11660	0.9698	11660.0	1	 
12169	12407	-102.068	12169	0.9697	12169.0	1	 
11336	12730	-147.128	11336	0.9237	11336.0	1	 
10404	10761	176.105	10404	0.9445	10404.0	1	 
10341	10750	-58.042	10341	0.9394	10341.0	1	CH4N3:C3H6O
11361	11658	132.082	11361	0.9631	11361.0	1	 
11211	11851	-204.136	11211	0.9744	11211.0	1	 
11836	12169	132.078	11836	0.9705	11836.0	1	 
10596	11851	-174.125	10596	0.9726	10596.0	1	 
10687	10855	88.052	10687	0.9573	10687.0	1	 
11211	11333	-190.120	11211	0.9548	11211.0	1	 
12372	12730	-119.094	12372	0.9365	12372.0	1	 
10621	11836	-130.096	10621	0.9678	10621.0	1	 
11273	11760	-14.018	11273	0.951	11273.0	1	methanol (-H2O):CH2
11554	11660	44.026	11554	0.9764	11554.0	1	H2N3:C2H4O
10543	11760	-130.100	10543	0.9508	10543.0	1	 
11555	11920	-58.038	11555	0.9604	11555.0	1	H2N4:C2H4NO:CH4N3:C3H6O
11061	11836	-116.083	11061	0.9669	11061.0	1	 
11444	12037	30.010	11444	0.9709	11444.0	1	CH2O
10983	11153	88.052	10983	0.9489	10983.0	1	 
11238	11361	-207.152	11238	0.9694	11238.0	1	 
10621	11658	15.997	10621	0.9611	10621.0	1	O
11658	11836	-146.093	11658	0.9701	11658.0	1	 
10596	10855	-146.093	10596	0.9595	10596.0	1	 
11658	11660	17.027	11658	0.9598	11658.0	1	adduct_rel_H_NH4 or NH3
10621	10905	-102.067	10621	0.9701	10621.0	1	 
11920	12407	-14.016	11920	0.9589	11920.0	1	methanol (-H2O):CH2
11017	11333	-102.068	11017	0.9395	11017.0	1	 
11426	11446	-251.172	11426	0.9441	11426.0	1	 
10827	11851	267.168	10827	0.9625	10827.0	1	 
10504	10855	-102.068	10504	0.9751	10504.0	1	 
11955	12093	44.026	11955	0.9534	11955.0	1	H2N3:C2H4O
11118	11426	-102.069	11118	0.9549	11118.0	1	 
11211	11679	-58.042	11211	0.9497	11211.0	1	CH4N3:C3H6O
10621	10855	149.107	10621	0.9586	10621.0	1	 
10596	11017	-58.041	10596	0.9484	10596.0	1	CH4N3:C3H6O
11238	11836	-221.163	11238	0.9812	11238.0	1	 
10754	11554	-116.084	10754	0.9631	10754.0	1	 
10687	10754	44.026	10687	0.9448	10687.0	1	H2N3:C2H4O
10747	11273	-248.159	10747	0.9698	10747.0	1	 
11333	11955	30.010	11333	0.9608	11333.0	1	CH2O
11234	12215	-262.177	11234	0.8906	11234.0	1	 
11273	12407	60.019	11273	0.9774	11273.0	1	CH2NO2:H2N3O:C2H4O2
11238	11660	-58.043	11238	0.968	11238.0	1	CH4N3:C3H6O
11273	11444	105.077	11273	0.9485	11273.0	1	 
12163	12203	234.147	12163	0.9545	12163.0	1	 
10504	11233	-160.110	10504	0.9543	10504.0	1	 
10341	11748	-86.073	10341	0.9404	10341.0	1	 
10543	10621	44.024	10543	0.9786	10543.0	1	H2N3:C2H4O
10754	12612	-161.144	10754	0.9406	10754.0	1	 
10747	11554	-99.056	10747	0.968	10747.0	1	 
10596	10761	88.053	10596	0.9664	10596.0	1	 
10596	11679	-28.031	10596	0.9496	10596.0	1	C2H4
11238	11920	-177.138	11238	0.9794	11238.0	1	 
10504	11017	-14.015	10504	0.9586	10504.0	1	methanol (-H2O):CH2
11660	12163	-14.017	11660	0.9655	11660.0	1	methanol (-H2O):CH2
11660	12169	-31.043	11660	0.9575	11660.0	1	CH5N
10543	10905	-58.043	10543	0.9521	10543.0	1	CH4N3:C3H6O:C2H6N2
11118	11551	-58.042	11118	0.9458	11118.0	1	CH4N3:C3H6O
10543	10677	88.052	10543	0.9588	10543.0	1	 
10404	10504	44.026	10404	0.9821	10404.0	1	H2N3:C2H4O
11554	12612	-45.061	11554	0.9529	11554.0	1	C2H7N
10983	11446	-14.016	10983	0.9496	10983.0	1	methanol (-H2O):CH2
12215	12730	176.104	12215	0.9596	12215.0	1	 
11153	11446	-102.068	11153	0.9635	11153.0	1	 
11273	12612	104.043	11273	0.9673	11273.0	1	 
11551	11679	44.026	11551	0.944	11551.0	1	H2N3:C2H4O
11836	11920	44.026	11836	0.9965	11836.0	1	H2N3:C2H4O
11361	11836	-14.011	11361	0.9595	11361.0	1	tertiary amine:N:methanol (-H2O):CH2
10747	10754	17.028	10747	0.9584	10747.0	1	adduct_rel_H_NH4 or NH3
10875	11327	-58.042	10875	0.9161	10875.0	1	CH4N3:C3H6O
11555	11658	44.030	11555	0.9762	11555.0	1	H2N3:C2H4O:CH4N2
10504	10596	44.026	10504	0.9872	10504.0	1	H2N3:C2H4O
11657	12411	-116.084	11657	0.8325	11657.0	1	 
10687	12163	-42.048	10687	0.9662	10687.0	1	C3H6
10596	10928	-102.067	10596	0.9503	10596.0	1	 
10404	10596	88.052	10404	0.9678	10404.0	1	 
12411	12730	71.026	12411	0.9155	12411.0	1	C2H3N2O:CH3N4
10543	11920	-42.046	10543	0.9699	10543.0	1	C3H6
11058	11554	-14.016	11058	0.9756	11058.0	1	methanol (-H2O):CH2
10761	11679	-116.084	10761	0.957	10761.0	1	 
11361	11660	149.109	11361	0.9692	11361.0	1	 
11058	12163	15.994	11058	0.9531	11058.0	1	O
10761	11017	-146.094	10761	0.9512	10761.0	1	 
12093	12163	-190.121	12093	0.9736	12093.0	1	 
10596	11211	30.011	10596	0.963	10596.0	1	CH2O
11426	12028	-221.160	11426	0.9464	11426.0	1	 
12163	12612	-75.070	12163	0.9681	12163.0	1	CH7N4:C3H9NO
10674	10761	44.026	10674	0.9247	10674.0	1	H2N3:C2H4O
10747	12163	-69.046	10747	0.971	10747.0	1	C3H5N2
10855	11851	-28.032	10855	0.9682	10855.0	1	C2H4
10747	12612	-144.116	10747	0.9754	10747.0	1	 
10855	11058	-146.094	10855	0.9739	10855.0	1	 
11233	11748	-14.016	11233	0.9727	11233.0	1	methanol (-H2O):CH2
11058	11658	12.983	11058	0.957	11058.0	1	 
11660	12028	-75.067	11660	0.9584	11660.0	1	CH7N4:C3H9NO
11444	11755	132.080	11444	0.923	11444.0	1	 
11760	12372	281.183	11760	0.9576	11760.0	1	 
11058	11211	322.198	11058	0.954	11058.0	1	 
10404	10875	220.131	10404	0.9322	10404.0	1	 
10687	12093	148.073	10687	0.9496	10687.0	1	 
11444	12612	-1.034	11444	0.9485	11444.0	1	 
10687	11760	-235.179	10687	0.9491	10687.0	1	 
10596	10674	44.026	10596	0.962	10596.0	1	H2N3:C2H4O
11273	12169	162.087	11273	0.9617	11273.0	1	 
10928	11153	-163.120	10928	0.9668	10928.0	1	 
10674	11118	-58.041	10674	0.9364	10674.0	1	CH4N3:C3H6O
10623	11233	74.036	10623	0.9198	10623.0	1	CH4N3O:C3H6O2:CH5N3O
10621	11851	121.076	10621	0.9659	10621.0	1	 
11679	11851	-146.094	11679	0.9701	11679.0	1	 
11273	11755	237.156	11273	0.9579	11273.0	1	 
11061	12169	15.994	11061	0.9701	11061.0	1	O
10404	11748	-130.099	10404	0.9339	10404.0	1	 
11361	12169	118.067	11361	0.9586	11361.0	1	 
10855	12093	60.021	10855	0.9499	10855.0	1	H2N3O:C2H4O2
10905	11361	-14.019	10905	0.9583	10905.0	1	methanol (-H2O):CH2
10543	11658	60.021	10543	0.9588	10543.0	1	H2N3O:C2H4O2
11361	11851	237.161	11361	0.9788	11361.0	1	 
10827	10928	339.226	10827	0.9531	10827.0	1	 
11238	12169	-89.086	11238	0.9819	11238.0	1	 
10827	12407	46.006	10827	0.9515	10827.0	1	CH2O2:H2N2O
10674	10928	-146.094	10674	0.9578	10674.0	1	 
10687	12372	46.005	10687	0.9408	10687.0	1	CH2O2
10504	10761	132.079	10504	0.9706	10504.0	1	 
11446	11551	295.199	11446	0.9415	11446.0	1	 
10404	10855	-58.041	10404	0.9571	10404.0	1	CH4N3:C3H6O
11017	11679	30.010	11017	0.9417	11017.0	1	CH2O
11058	12028	-45.057	11058	0.9561	11058.0	1	C2H7N
10543	10827	-102.069	10543	0.9491	10543.0	1	 
11327	11789	-58.042	11327	0.9418	11327.0	1	CH4N3:C3H6O
10621	10677	44.028	10621	0.9779	10621.0	1	H2N3:C2H4O:CH4N2
11061	11361	-102.072	11061	0.9593	11061.0	1	 
11684	11760	44.026	11684	0.9452	11684.0	1	H2N3:C2H4O:CH4N2
11336	12215	-323.232	11336	0.9497	11336.0	1	 
7184	7398	0.088	7184	0.8816	7184.0	2	 
8411	11331	-49.005	8411	0.8921	8411.0	5	 
13578	13775	0.000	13578	0.9798	13578.0	5	 
9459	12244	-56.062	9459	0.9307	9459.0	5	C4H8
10751	11517	-14.016	10751	0.9386	10751.0	5	methanol (-H2O):CH2
9459	12458	-38.052	9459	0.9402	9459.0	5	 
12244	12458	18.011	12244	0.9662	12244.0	5	H2O
12464	13774	-28.031	12464	0.9319	12464.0	5	C2H4
10751	12244	-28.031	10751	0.9026	10751.0	5	C2H4
11517	13760	50.000	11517	0.9101	11517.0	5	H2O3:C3N
11331	13575	-42.047	11331	0.8864	11331.0	5	C3H6
13400	13760	-28.031	13400	0.9694	13400.0	5	C2H4
9459	13775	-66.083	9459	0.9036	9459.0	5	 
12244	12464	0.000	12244	0.9851	12244.0	5	 
12243	13578	-28.031	12243	0.9737	12243.0	5	C2H4
8920	13555	-84.094	8920	0.8816	8920.0	5	 
8920	13400	-56.062	8920	0.8871	8920.0	5	C4H8
11517	13774	-42.047	11517	0.9196	11517.0	5	C3H6
12244	13774	-28.031	12244	0.9452	12244.0	5	C2H4
9459	10751	-28.031	9459	0.9079	9459.0	5	C2H4
12255	12464	-92.047	12255	0.9264	12255.0	5	 
12472	13555	-28.031	12472	0.9896	12472.0	5	C2H4
10751	12464	-28.031	10751	0.9093	10751.0	5	C2H4
11517	13575	-42.047	11517	0.9179	11517.0	5	C3H6
12458	13578	-28.031	12458	0.9268	12458.0	5	C2H4
9459	12472	35.985	9459	0.906	9459.0	5	 
12255	13555	-28.031	12255	0.9239	12255.0	5	C2H4
12458	12464	-18.010	12458	0.9597	12458.0	5	H2O
9459	13575	-84.094	9459	0.9244	9459.0	5	 
12255	13578	-102.068	12255	0.9003	12255.0	5	 
12472	13400	0.000	12472	0.9697	12472.0	5	 
12464	13575	-28.031	12464	0.9853	12464.0	5	C2H4
13578	13760	74.037	13578	0.9052	13578.0	5	CH4N3O:C3H6O2
12458	13775	-28.031	12458	0.8958	12458.0	5	C2H4
8411	10751	-34.990	8411	0.9958	8411.0	5	 
12458	13760	46.005	12458	0.8834	12458.0	5	CH2O2
12255	13760	-28.031	12255	0.9073	12255.0	5	C2H4
9459	12464	-56.062	9459	0.9295	9459.0	5	C4H8
8411	11517	-49.005	8411	0.9258	8411.0	5	 
12255	13575	-120.079	12255	0.9166	12255.0	5	 
12472	13578	-102.068	12472	0.908	12472.0	5	 
11331	13555	50.000	11331	0.8889	11331.0	5	H2O3:C3N
12472	13775	-102.068	12472	0.8966	12472.0	5	 
13555	13760	0.000	13555	0.9846	13555.0	5	 
12255	13775	-102.068	12255	0.9158	12255.0	5	 
8411	13774	-91.052	8411	0.8796	8411.0	5	 
9459	13555	7.953	9459	0.9177	9459.0	5	 
12458	12472	74.037	12458	0.8869	12458.0	5	CH4N3O:C3H6O2
12255	12472	0.000	12255	0.9141	12255.0	5	 
13400	13578	-102.068	13400	0.8862	13400.0	5	 
11331	12464	-14.016	11331	0.9229	11331.0	5	methanol (-H2O):CH2
12458	13575	-46.042	12458	0.9217	12458.0	5	H4N3:C2H6O
13760	13775	-74.037	13760	0.8869	13760.0	5	CH4N3O:C3H6O2
9459	12255	35.985	9459	0.992	9459.0	5	 
11517	12464	-14.016	11517	0.9457	11517.0	5	methanol (-H2O):CH2
11331	13774	-42.047	11331	0.8827	11331.0	5	C3H6
7003	8411	-28.031	7003	0.933	7003.0	5	C2H4
12243	13775	-28.031	12243	0.9912	12243.0	5	C2H4
12472	13760	-28.031	12472	0.9968	12472.0	5	C2H4
13400	13775	-102.068	13400	0.873	13400.0	5	 
12244	13575	-28.031	12244	0.983	12244.0	5	C2H4
10751	13575	-56.063	10751	0.9229	10751.0	5	C4H8
9459	13760	7.954	9459	0.9015	9459.0	5	 
12244	12255	92.047	12244	0.9264	12244.0	5	 
11331	12244	-14.016	11331	0.9314	11331.0	5	methanol (-H2O):CH2
12255	12458	-74.037	12255	0.9413	12255.0	5	CH4N3O:C3H6O2
11517	13578	-24.036	11517	0.8982	11517.0	5	 
13555	13775	-74.037	13555	0.9054	13555.0	5	CH4N3O:C3H6O2
10751	13774	-56.063	10751	0.9275	10751.0	5	C4H8
13400	13555	-28.031	13400	0.9592	13400.0	5	C2H4
11517	12472	78.032	11517	0.903	11517.0	5	H4N3O2:C2H6O3:C5H4N
13555	13578	-74.037	13555	0.8904	13555.0	5	CH4N3O:C3H6O2
13575	13774	0.000	13575	0.9139	13575.0	5	 
11331	11517	-0.000	11331	0.97	11331.0	5	 
10751	11331	-14.015	10751	0.9134	10751.0	5	methanol (-H2O):CH2
11517	12244	-14.016	11517	0.9586	11517.0	5	methanol (-H2O):CH2
8768	11052	-14.016	8768	0.9049	8768.0	6	methanol (-H2O):CH2
11052	13589	2.016	11052	0.9036	11052.0	6	H2
9356	11318	-28.031	9356	0.9562	9356.0	6	C2H4
8768	9356	-14.016	8768	0.9479	8768.0	6	methanol (-H2O):CH2
9356	11052	0.000	9356	0.9118	9356.0	6	 
9503	14049	-31.990	9503	0.9102	9503.0	6	O2
9356	9503	-28.031	9356	0.9046	9356.0	6	C2H4
13877	14049	-0.000	13877	0.9054	13877.0	6	 
10039	11052	14.016	10039	0.9173	10039.0	6	methanol (-H2O):CH2
10039	12502	-14.016	10039	0.9389	10039.0	6	methanol (-H2O):CH2
62	160	0.037	62	0.9523	62.0	7	 
6280	14306	1.008	6280	0.7236	6280.0	8	isotope_13C:H
6956	14306	17.003	6956	0.8326	6956.0	8	OH
6956	14315	15.997	6956	0.8809	6956.0	8	O
6280	6956	-15.995	6280	0.8167	6280.0	8	O
985	7543	-0.036	985	0.8788	985.0	10	 
2630	4433	-0.000	2630	0.8569	2630.0	10	 
985	5221	-0.036	985	0.894	985.0	10	 
3093	5221	-2.016	3093	0.8453	3093.0	10	H2
2630	5221	-0.000	2630	0.8652	2630.0	10	 
3682	5221	-0.000	3682	0.9245	3682.0	10	 
5221	7543	0.000	5221	0.9425	5221.0	10	 
9822	11647	48.917	9822	0.9978	9822.0	11	 
9193	10886	-44.027	9193	0.9878	9193.0	11	H2N3:C2H4O
12515	12528	17.026	12515	0.9918	12515.0	11	adduct_rel_H_NH4 or NH3
10345	11647	-42.046	10345	0.9924	10345.0	11	C3H6
11647	14010	-28.032	11647	0.9932	11647.0	11	C2H4
10942	12561	-28.031	10942	0.9948	10942.0	11	C2H4
